decision_time_ist,difficulty_used,diff_ratio,state_final,power_w_avg,temp_c_avg,hashrate_hs_avg,kWh_5min,cost_5min,hashes_5min,hash_per_kWh,hash_per_J,tariff_inr_per_kwh,state_change
2025-10-02 00:00:00,582199670253,1.043706090443916,FULL,242.1380993317375,96.97981916132458,13495.164421665611,0.02017817494431146,0.14124722461018022,4048549.3264996833,200640015.1486957,55.73333754130436,,True
2025-10-02 18:15:00,534873290827,0.9480406035973988,FULL,263.153618978807,98.59125661768107,13270.05566322463,0.02192946824823392,0.15350627773763745,3981016.698967389,181537311.0694555,50.42703085262653,7.0,False
2025-10-02 18:20:00,532278118591,0.943748002947163,FULL,253.09072477115825,96.8778903226881,13450.996420161351,0.021090893730929854,0.147636256116509,4035298.9260484055,191328967.73030668,53.146935480640735,,False
2025-10-02 18:25:00,532556204070,0.9445491365582964,FULL,241.23465352226478,96.48814297587738,13263.922329514733,0.020102887793522064,0.14072021455465444,3979176.69885442,197940551.61252335,54.98348655903427,,False
2025-10-02 18:30:00,535855434709,0.9506876734348418,FULL,256.05030445134344,97.87481514564097,12978.151733075349,0.021337525370945288,0.149362677596617,3893445.519922605,182469403.1869413,50.685945329705916,,False
2025-10-02 18:35:00,534129471231,0.9479105690037775,FULL,263.012401968177,98.7438259243531,13524.792290659068,0.021917700164014755,0.15342390114810328,4057437.6871977206,185121507.13054118,51.422640869594765,,False
2025-10-02 18:40:00,538138175726,0.9552870303186318,FULL,255.7418715918966,98.55525060217741,13059.430174513744,0.02131182263265805,0.14918275842860634,3917829.052354123,183833598.8377867,51.06488856605186,,False
2025-10-02 18:45:00,537092407842,0.9537031212276246,FULL,259.8825150627686,96.9388635024473,13149.459871312229,0.021656876255230717,0.15159813378661502,3944837.961393669,182151752.39969727,50.59770899991591,,False
2025-10-02 18:50:00,538026775308,0.9556300314456424,FULL,257.1004377515093,98.21669190923588,13490.510257308675,0.021425036479292437,0.14997525535504705,4047153.0771926027,188898305.07893074,52.471751410814086,,False
2025-10-02 18:55:00,536895892474,0.9538881188787515,FULL,275.93508950140676,98.48568486363796,13342.020416478364,0.022994590791783894,0.16096213554248726,4002606.124943509,174067290.9201613,48.35202525560036,,False
2025-10-02 19:00:00,541007565409,0.9614377481685799,FULL,260.0108548575987,97.74776098669844,13508.664452193982,0.021667571238133225,0.15167299866693257,4052599.3356581945,187035237.64241457,51.95423267844849,,False
2025-10-02 19:05:00,538431603390,0.957085242269839,FULL,249.3314212578975,96.22824918893537,13322.338276924,0.020777618438158126,0.14544332906710689,3996701.4830772,192356091.963709,53.43224776769694,,False
2025-10-02 19:10:00,538431603390,0.9573106474646105,FULL,261.8044159708324,101.64461152713918,13100.732105735735,0.021817034664236033,0.15271924264965223,3930219.6317207203,180144538.0734259,50.040149464840525,,False
2025-10-02 19:15:00,541668016187,0.9632730079292744,FULL,257.62108753693155,98.65333454801565,13243.489065689919,0.02146842396141096,0.15027896772987673,3973046.719706976,185064666.45378548,51.40685179271819,,False
2025-10-02 19:20:00,544625199946,0.968726316966027,FULL,244.12840118981248,96.79109347192914,13249.127214662618,0.020344033432484372,0.1424082340273906,3974738.164398785,195376112.48967546,54.27114235824318,,False
2025-10-02 19:25:00,540760687736,0.9620685772557611,FULL,245.2582764900721,95.08661595562596,13145.576644329692,0.020438189707506008,0.14306732795254207,3943672.9932989078,192956081.22526518,53.59891145146255,,False
2025-10-02 19:30:00,545351179075,0.9704260167119605,FULL,262.35181898747425,95.15409290539736,13406.474007986018,0.02186265158228952,0.15303856107602665,4021942.2023958056,183964062.51352867,51.10112847598019,,False
2025-10-02 19:35:00,546376628071,0.9724347497112079,FULL,252.76262913732094,96.55491893150503,13209.87054513765,0.021063552428110078,0.14744486699677053,3962961.163541295,188143057.87529832,52.2619605209162,,False
2025-10-02 19:40:00,546166131699,0.9722393426275487,FULL,258.6434199587473,95.29842257391665,13219.067838826322,0.021553618329895607,0.15087532830926925,3965720.3516478967,183993253.05613798,51.109236960038324,,False
2025-10-02 19:45:00,546811835984,0.9735883710189023,FULL,241.37807670991128,99.11928184867173,13489.82057851106,0.02011483972582594,0.14080387808078157,4046946.1735533183,201192066.58939192,55.88668516371998,,False
